nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_57	    49.647319748	    33.679132723	     3.543765887
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_130	   804.277370764	    94.076533669	    24.884308211
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_325	   817.227500272	    84.197171307	    24.119824117
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_325	   164.273285355	    65.120377029	   173.058196887
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_390	   118.216044641	    50.692612286	    88.836735892
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_285	    66.043218198	    40.235379757	     2.434374695
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_390	   742.926909614	    85.586610647	   153.357487698
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_195	   892.123598465	    90.804623293	   198.339963809
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_260	   789.904419723	    94.656945202	   150.348694403
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_455	   153.186978153	    60.861517324	    58.164749463
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_455	  1014.346470222	    95.395626716	   148.794506593
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_342	    72.332513498	    44.159935573	     3.547306848
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_325	   907.325372179	   101.153781110	    51.413863932
nl_bookII_s3	 nn	 spss	 8	 1	 nnkmn2k5ds74s75s76s77s78_sspss50r1i4u_8_0_init_114	    49.098650873	    33.465239972	     3.737625807
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_520	   189.724750006	    72.023436825	     4.343560350
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_520	   893.316725918	    95.445282536	     4.736222339
nl_bookIII_s3	 nn	 zncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_szncc50r1i4u_8_0_init_390	   926.593399116	    97.698802998	    39.296335125
nl_bookIII_s3	 nn	 ssd	 8	 1	 nnkmn2k5ds74s75s76s77s78_sssd50r1i4u_8_0_init_585	   764.035819120	    89.931978998	     1.557785827
nl_bookIII_s3	 nn	 ncc	 8	 1	 nnkmn2k5ds74s75s76s77s78_sncc50r1i4u_8_0_init_585	   165.221759962	    65.330511538	     1.422669198
nl_bookII_s3	 nn	 riu	 8	 1	 nnkmn2k5ds74s75s76s77s78_sriu50r1e3a1i4u_8_0_init_399	    75.563579132	    46.106125524	     2.333181008
