nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_513	  1292.310481339	    93.496181919	     0.049144760
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0	  1514.237521589	    92.590007508	     4.505521841
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_171	   471.297198693	    86.416539433	     0.838837015
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_513	  2204.344816625	    83.105598341	     0.562886532
nl_bookII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0	   756.443183583	    89.161275512	     0.498075884	 0
nl_bookII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	  1386.112240798	    93.855950205	     0.915462903	 0
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_65	  1455.468211949	    84.671590061	     4.921243045
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_228	   290.973143002	    65.950278184	     0.915898006
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_285	   211.586689311	    68.652085874	     0.551200914
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_130	   918.982189672	    88.885205897	     5.478022732
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0	   694.119734721	    81.330728075	    17.212612971
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	   936.232336496	    81.712145633	    32.676758583
nl_bookII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_342	   216.469642283	    66.976368559	     0.652159006
nl_bookIII_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_195	  1043.086757327	    96.219609536	    11.426308239
