nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0	     8.969077851	     8.485734179	    35.044376763
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_196	    14.663336545	    13.299703171	   130.340324354
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_245	    14.865979733	    13.503641762	    62.725037841
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_195	    10.255481620	     9.612599315	   136.145816418
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_260	    10.198612721	     9.539437081	   101.188417521
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_294	    15.010021009	    13.596039493	    14.383381424
nl_bookIII_s3	 pf	 mi	 8	 1	 pf500d5s0s1s2s3s4car_mi24b50r30i2a4u_8_0_init_65	     9.423044265	     8.887191741	     4.370541564
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_343	    14.813743463	    13.441532964	     4.772727155
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_325	    10.237777619	     9.566962741	    80.155930901
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_392	    14.898542018	    13.474898284	     3.691823740
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0_init_441	    15.220872520	    13.840787925	     4.417703975
nl_bookIII_s3	 pf	 ccre	 8	 1	 pf500d5s0s1s2s3s4car_ccre16b50r30i100a1bt4u_8_0_init_65	     8.434374355	     7.989656364	    86.243023501
nl_bookIII_s3	 pf	 lscv	 8	 1	 pf500d5s0s1s2s3s4car_lscv64b50r30i5a4u_8_0_init_390	    10.239198487	     9.582586700	   257.796302720
nl_cereal_s3	 pf	 ngf	 8	 1	 pf500d5s0s1s2s3s4car_ngf50r30i300a4u_8_0	    14.908067575	    13.509187468	     7.746925229	 7
