nl_cereal_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_294	   335.983643236	   101.719413110	     8.498304032
nl_cereal_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_343	   306.771909815	    94.826786498	     4.822545412
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   203.073401557	    85.204247230	     5.893873006
nl_cereal_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_392	   344.704301543	    99.938961211	     3.067418478
nl_cereal_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_441	   361.166528847	   103.291007987	     4.259174151
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_49	   175.077270375	    71.502363669	     5.144585033
nl_bookI_s3	 nnk	 mi	 8	 1	 nn5kmn400s78s77s76s75s74_mi24b50r30i4u_8_0	     7.291328297	     6.890171012	   110.037435099
nl_cereal_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   324.150169063	    99.930409417	     4.996097125	 0
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_98	   175.026506692	    73.692764546	     5.304398504
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   310.168700250	    87.281004401	     6.479507276
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_147	   186.807046184	    81.218810001	     6.294652939
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_51	   334.731219371	    97.812180406	     4.916055966
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_196	   157.379608033	    69.633804570	     8.523811232
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_102	   371.148635999	   106.998553654	     4.985635521
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_245	   169.731117558	    70.251564684	     6.034228202
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_294	   180.087030734	    79.863173184	     7.376204719
nl_juice_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_153	   312.894572943	    88.242306503	    11.120507651
nl_cereal_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_343	   174.996610406	    79.557225008	     4.528386532
