nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_114	   136.976540616	    57.498199569	     0.698894682
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_98	   890.675874283	    86.857644308	     3.787535243
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0	  1268.373462264	    78.037403810	    53.841876227
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_147	   729.517886815	    86.219011759	     5.795897085
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_114	   125.733343067	    53.665120185	     0.698856247
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_171	   134.786572916	    57.643970463	     0.838576071
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_49	  1309.258634344	    86.003852079	    59.731543630
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_196	   591.275647890	    85.017365222	    10.978922147
nl_cereal_s3	 fa	 ssim	 2	 1	 falmC1_ssim50r30i4uReinitGT_2_0_init_98	   735.264094131	    76.706468401	    67.077742288
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_245	   605.502600787	    78.960946640	     8.045383771
nl_bookII_s3	 fa	 ssim	 l8	 1	 falmC1_ssim50r30i4uReinitGT_l8_1_init_171	   122.367212332	    53.567851148	     0.838558395
nl_bookII_s3	 fa	 ssim	 c8	 1	 falmC1_ssim50r30i4uReinitGT_c8_1_init_228	   105.987599505	    50.556935640	     0.914700211
nl_cereal_s3	 fa	 ssim	 4	 1	 falmC1_ssim50r30i4uReinitGT_4_1_init_294	   679.032498763	    80.424274909	     6.216654589
