nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_130	   858.764615136	   129.166416954	    46.060768185
nl_cereal_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   742.619609667	   119.998512590	     8.526643382	 1
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_195	   734.923147490	   115.834248904	    70.834931527
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   935.974483571	   118.427316441	   149.112253081
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_51	   849.369128362	   119.244315787	    52.046080028
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_260	  1051.318463533	   122.607885500	   154.683341648
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_102	   708.944405235	   120.708039317	   144.955163724
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_153	   689.436274463	    99.945075898	   198.440714509
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_325	   787.600830670	   118.308961068	  1337.595635575
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_204	   906.699180881	   118.836812702	    65.426029177
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_390	   750.721274140	   121.928633970	    37.153659572
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_255	   795.589605498	   126.118499188	    60.531626621
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_306	   829.314743007	   120.629357060	   103.288304923
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_455	   789.811423701	   126.770641720	   170.863633493
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_357	   897.226619477	   121.922695721	    96.829307376
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_408	   701.840947059	   112.921189418	     6.087476854
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_520	   735.236762904	   131.339055001	     6.001799703
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_459	   735.120461776	   125.045531738	     4.519269927
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_585	   785.584502493	   120.301381387	     4.050039944
nl_juice_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   676.127452265	   120.070388716	     5.880951347	 6
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   761.088439092	   114.038469216	     2.649865992
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_38	   766.214161226	   124.955616849	     2.205938411
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_76	   707.879408409	   118.504669311	     2.199533240
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_114	   722.211600530	   121.155197727	     2.488093722
nl_bookIII_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   825.543712693	   120.245847454	     7.353515455	 5
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_152	   713.024776669	   120.158486163	     2.654516628
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_190	   743.522220609	    98.268647925	     4.110441371
nl_cereal_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   801.903995733	   116.669341407	     8.236417006
nl_mugI_s3	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_228	   698.334903562	   115.684522863	     2.273223914
